run,map,method,development_map,episode,result,enemy_elimination,enemy_kills,JEV_input,JEV_output,game_seconds,wall_seconds
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/27m_vs_30m/jev,27m_vs_30m,jev_gpt6,False,2,loss,0.36666666666666664,11,1990268,36334,11.786,32.765
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/27m_vs_30m/jev,27m_vs_30m,jev_gpt6,False,3,loss,0.2,6,1834206,33830,10.357,28.703
smac-hard/jev_runs/all-maps-20260921-001/MMM/jev,MMM,jev_only,False,1,loss,0.1,1,390965,16764,10.0,29.313
smac-hard/jev_runs/all-maps-20260921-001/MMM/jev,MMM,jev_only,False,2,loss,0.0,0,385528,15921,10.357,14.485
smac-hard/jev_runs/all-maps-20260921-001/MMM/jev,MMM,jev_only,False,3,loss,0.2,2,402187,16017,11.429,15.953
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/MMM/jev,MMM,jev_gpt6,False,1,loss,0.7,7,949319,28198,26.786,99.828
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/MMM/jev,MMM,jev_gpt6,False,2,win,0.9,9,664459,22935,15.0,21.359
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/MMM/jev,MMM,jev_gpt6,False,3,loss,0.6,6,768205,23876,20.714,29.469
smac-hard/jev_runs/all-maps-20260921-001/MMM2/jev,MMM2,jev_only,False,1,loss,0.0,0,367557,14893,8.571,27.765
smac-hard/jev_runs/all-maps-20260921-001/MMM2/jev,MMM2,jev_only,False,2,loss,0.0,0,355266,14063,8.571,12.875
smac-hard/jev_runs/all-maps-20260921-001/MMM2/jev,MMM2,jev_only,False,3,loss,0.08333333333333333,1,354517,14204,8.571,12.219
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/MMM2/jev,MMM2,jev_gpt6,False,1,loss,0.3333333333333333,4,503573,15959,11.429,85.422
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/MMM2/jev,MMM2,jev_gpt6,False,2,loss,0.25,3,451252,14466,10.357,15.703
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/MMM2/jev,MMM2,jev_gpt6,False,3,loss,0.3333333333333333,4,532571,15064,12.5,20.703
smac-hard/jev_runs/all-maps-20260921-001/2s3z/jev,2s3z,jev_only,False,1,loss,0.6,3,274335,11991,16.071,34.907
smac-hard/jev_runs/all-maps-20260921-001/2s3z/jev,2s3z,jev_only,False,2,win,1.0,5,362016,17011,21.429,27.25
smac-hard/jev_runs/all-maps-20260921-001/2s3z/jev,2s3z,jev_only,False,3,win,1.0,5,373456,15337,27.5,33.937
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/2s3z/jev,2s3z,jev_gpt6,False,1,loss,0.6,3,462660,12434,19.643,73.813
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/2s3z/jev,2s3z,jev_gpt6,False,2,win,1.0,5,491841,14244,19.643,24.625
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/2s3z/jev,2s3z,jev_gpt6,False,3,loss,0.4,2,399502,10969,15.357,19.219
smac-hard/jev_runs/all-maps-20260921-001/3s5z/jev,3s5z,jev_only,False,1,loss,0.375,3,486374,22411,16.429,38.218
smac-hard/jev_runs/all-maps-20260921-001/3s5z/jev,3s5z,jev_only,False,2,loss,0.25,2,465010,21520,15.0,20.484
smac-hard/jev_runs/all-maps-20260921-001/3s5z/jev,3s5z,jev_only,False,3,loss,0.625,5,538498,23423,19.286,26.328
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s5z/jev,3s5z,jev_gpt6,False,1,loss,0.625,5,724578,21650,23.214,93.797
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s5z/jev,3s5z,jev_gpt6,False,2,loss,0.625,5,733545,22408,22.143,29.797
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s5z/jev,3s5z,jev_gpt6,False,3,loss,0.625,5,740370,22056,23.571,32.031
smac-hard/jev_runs/all-maps-20260921-001/3s5z_vs_3s6z/jev,3s5z_vs_3s6z,jev_only,False,1,loss,0.2222222222222222,2,456986,21174,13.929,35.688
smac-hard/jev_runs/all-maps-20260921-001/3s5z_vs_3s6z/jev,3s5z_vs_3s6z,jev_only,False,2,loss,0.3333333333333333,3,466640,21479,14.643,21.407
smac-hard/jev_runs/all-maps-20260921-001/3s5z_vs_3s6z/jev,3s5z_vs_3s6z,jev_only,False,3,loss,0.2222222222222222,2,467983,21110,14.643,21.063
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s5z_vs_3s6z/jev,3s5z_vs_3s6z,jev_gpt6,False,1,loss,0.2222222222222222,2,585456,20211,15.714,91.063
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s5z_vs_3s6z/jev,3s5z_vs_3s6z,jev_gpt6,False,2,loss,0.3333333333333333,3,620638,19677,16.786,23.391
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s5z_vs_3s6z/jev,3s5z_vs_3s6z,jev_gpt6,False,3,loss,0.2222222222222222,2,575092,20002,15.0,21.078
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_3z/jev,3s_vs_3z,jev_only,False,1,loss,0.0,0,142426,5924,13.214,32.016
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_3z/jev,3s_vs_3z,jev_only,False,2,loss,0.0,0,148319,6489,12.857,16.079
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_3z/jev,3s_vs_3z,jev_only,False,3,loss,0.3333333333333333,1,146795,6258,13.214,15.688
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,3s_vs_3z,jev_gpt6,False,1,loss,0.3333333333333333,1,257658,6935,14.286,68.656
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,3s_vs_3z,jev_gpt6,False,2,loss,0.3333333333333333,1,298152,8411,16.071,20.203
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,3s_vs_3z,jev_gpt6,False,3,loss,0.3333333333333333,1,276070,7214,15.714,18.703
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_4z/jev,3s_vs_4z,jev_only,False,1,loss,0.0,0,137896,5928,11.071,26.515
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_4z/jev,3s_vs_4z,jev_only,False,2,loss,0.0,0,133934,5762,10.714,13.781
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_4z/jev,3s_vs_4z,jev_only,False,3,loss,0.0,0,129105,5532,10.357,12.531
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_4z/jev,3s_vs_4z,jev_gpt6,False,1,loss,0.25,1,244797,6395,13.214,72.828
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_4z/jev,3s_vs_4z,jev_gpt6,False,2,loss,0.25,1,245659,6507,12.857,15.828
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_4z/jev,3s_vs_4z,jev_gpt6,False,3,loss,0.25,1,254609,6617,13.571,16.547
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_5z/jev,3s_vs_5z,jev_only,False,1,loss,0.0,0,132940,5746,9.643,27.047
