track,method,scope,map,development_map,run,method_name,episodes,result,wall_seconds,game_seconds,JEV_requests,GPT6_requests,JEV_usd,GPT6_usd,JEV_input,JEV_output,GPT6_input,GPT6_output,GPT6_cached,GPT6_cache_write,JEV_known_responses,GPT6_known_responses,JEV_unknown_attempts,GPT6_unknown_attempts,total_usd,JEV_n,JEV_median_ms,JEV_p95_ms,JEV_p90_ms,JEV_max_ms,JEV_mean_ms,GPT6_n,GPT6_median_ms,GPT6_p95_ms,GPT6_p90_ms,GPT6_max_ms,GPT6_mean_ms,level,seed,first_attack_seconds,replay_game_seconds
micro,jev_gpt6,main,MMM,False,smac-hard/jev_runs/p0-astra-all-maps-20260922-001/MMM/jev,JEV + GPT-6,3,,151.032,62.5,175,1,0.100043286,0.2362,2381983,75009,20160,692,0,0,175,1,0,0,0.336243286,175,468.99999999732245,567.49999999447,540.9999999974387,5718.999999997322,507.19428571398436,1,39672.00000000594,39672.00000000594,39672.00000000594,39672.00000000594,39672.00000000594,,,,
micro,jev_only,main,MMM2,False,smac-hard/jev_runs/all-maps-20260921-001/MMM2/jev,JEV-only,3,,53.093,25.713,84,0,0.04524828000000001,0.0,1077340,43160,0,0,0,0,84,0,0,0,0.04524828000000001,84,469.0000000009604,683.3499999984267,620.5000000001746,1219.0000000009604,509.67857142846435,0,,,,,,,,,
micro,jev_gpt6,main,MMM2,False,smac-hard/jev_runs/p0-astra-all-maps-20260922-001/MMM2/jev,JEV + GPT-6,3,,122.188,34.286,105,1,0.062470632000000005,0.239,1487396,45489,20170,746,0,0,105,1,0,0,0.301470632,105,485.0000000005821,590.7999999995809,562.9999999946449,3389.999999999418,558.4380952379433,1,45016.00000000326,45016.00000000326,45016.00000000326,45016.00000000326,45016.00000000326,,,,
micro,jev_only,main,2s3z,False,smac-hard/jev_runs/all-maps-20260921-001/2s3z/jev,JEV-only,3,,96.36,65.0,182,0,0.042411894,0.0,1009807,44339,0,0,0,0,182,0,0,0,0.042411894,182,421.9999999986612,594.0000000009604,560.4999999985013,984.0000000003783,440.39560439557465,0,,,,,,,,,
micro,jev_gpt6,main,2s3z,False,smac-hard/jev_runs/p0-astra-all-maps-20260922-001/2s3z/jev,JEV + GPT-6,3,,118.0,54.643,153,1,0.056868126000000005,0.1974,1354003,37647,16300,688,0,0,153,1,0,0,0.254268126,153,437.0000000053551,490.4000000067755,468.99999999732245,2281.9999999919673,440.8954248362825,1,31031.000000002678,31031.000000002678,31031.000000002678,31031.000000002678,31031.000000002678,,,,
micro,jev_only,main,3s5z,False,smac-hard/jev_runs/all-maps-20260921-001/3s5z/jev,JEV-only,3,,85.296,50.715,142,0,0.062575044,0.0,1489882,67354,0,0,0,0,142,0,0,0,0.062575044,142,468.4999999990396,672.0000000021173,623.400000000038,1360.000000000582,487.28873239449223,0,,,,,,,,,
micro,jev_gpt6,main,3s5z,False,smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s5z/jev,JEV + GPT-6,3,,155.969,68.928,193,1,0.09233670599999996,0.2216,2198493,66114,18540,724,0,0,193,1,0,0,0.31393670599999995,193,467.99999999348074,547.0000000059372,516.0000000032596,1250.0,466.4145077718512,1,41031.00000000268,41031.00000000268,41031.00000000268,41031.00000000268,41031.00000000268,,,,
micro,jev_only,main,3s5z_vs_3s6z,False,smac-hard/jev_runs/all-maps-20260921-001/3s5z_vs_3s6z/jev,JEV-only,3,,78.422,43.215,121,0,0.05844757799999999,0.0,1391609,63763,0,0,0,0,121,0,0,0,0.05844757799999999,121,469.0000000009604,702.9999999977008,655.9999999990396,2077.999999997701,512.5206611568697,0,,,,,,,,,
micro,jev_gpt6,main,3s5z_vs_3s6z,False,smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s5z_vs_3s6z/jev,JEV + GPT-6,3,,135.906,47.5,133,1,0.07480981200000003,0.23425,1781186,59890,19610,763,0,0,133,1,0,0,0.30905981200000004,133,468.99999999732245,584.4000000040977,559.0000000025611,5657.000000006519,518.4360902254904,1,39968.99999999732,39968.99999999732,39968.99999999732,39968.99999999732,39968.99999999732,,,,
micro,jev_only,main,3s_vs_3z,False,smac-hard/jev_runs/all-maps-20260921-001/3s_vs_3z/jev,JEV-only,3,,64.047,39.285,110,0,0.018376679999999996,0.0,437540,18671,0,0,0,0,110,0,0,0,0.018376679999999996,110,407.0000000028813,579.4999999992796,486.500000000524,1077.9999999977008,428.13636363644036,0,,,,,,,,,
micro,jev_gpt6,main,3s_vs_3z,False,smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,JEV + GPT-6,3,,107.89,46.071,129,1,0.03493896000000001,0.10881,831880,22560,14543,650,7680,0,129,1,0,0,0.14374896,129,421.99999999138527,493.6000000045168,468.00000000803266,1233.9999999967404,428.8837209303526,1,34453.000000008615,34453.000000008615,34453.000000008615,34453.000000008615,34453.000000008615,,,,
micro,jev_only,main,3s_vs_4z,False,smac-hard/jev_runs/all-maps-20260921-001/3s_vs_4z/jev,JEV-only,3,,53.094,32.141999999999996,90,0,0.01683927,0.0,400935,17222,0,0,0,0,90,0,0,0,0.01683927,90,405.9999999990396,617.8000000001703,478.3000000010369,891.0000000032596,428.43333333342645,0,,,,,,,,,
micro,jev_gpt6,main,3s_vs_4z,False,smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_4z/jev,JEV + GPT-6,3,,105.547,39.641999999999996,111,1,0.03129273000000001,0.17869,745065,19519,14569,660,0,0,111,1,0,0,0.20998273,111,422.0000000059372,484.4999999986612,468.99999999732245,4266.00000000326,459.8828828831986,1,35750.0,35750.0,35750.0,35750.0,35750.0,,,,
micro,jev_only,main,3s_vs_5z,False,smac-hard/jev_runs/all-maps-20260921-001/3s_vs_5z/jev,JEV-only,3,,49.344,28.215,79,0,0.016189362000000002,0.0,385461,16531,0,0,0,0,79,0,0,0,0.016189362000000002,79,421.9999999986612,593.1000000007771,530.9999999990396,905.9999999990396,440.4683544303628,0,,,,,,,,,
micro,jev_gpt6,main,3s_vs_5z,False,smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_5z/jev,JEV + GPT-6,3,,97.203,31.070999999999998,87,1,0.026333244000000002,0.17879,626982,16519,14549,666,0,0,87,1,0,0,0.205123244,87,452.9999999940628,526.4999999984866,500.0,1202.9999999940628,461.0229885053751,1,41688.0000000092,41688.0000000092,41688.0000000092,41688.0000000092,41688.0000000092,,,,
micro,jev_only,main,1c3s5z,False,smac-hard/jev_runs/all-maps-20260921-001/1c3s5z/jev,JEV-only,3,,79.516,47.143,132,0,0.06672846599999997,0.0,1588773,73125,0,0,0,0,132,0,0,0,0.06672846599999997,132,468.99999999732245,672.0000000002983,621.9000000000963,1063.0000000019209,481.2196969694262,0,,,,,,,,,
micro,jev_gpt6,main,1c3s5z,False,smac-hard/jev_runs/p0-astra-all-maps-20260922-001/1c3s5z/jev,JEV + GPT-6,3,,201.469,51.785,147,1,0.08149755600000004,0.16114,1940418,61620,19516,702,7680,0,145,1,2,0,0.24263755600000003,145,531.0000000026776,3559.6000000077524,1143.6000000016063,6937.000000005355,859.7862068968143,1,35014.99999999942,35014.99999999942,35014.99999999942,35014.99999999942,35014.99999999942,,,,
micro,jev_only,main,2m_vs_1z,False,smac-hard/jev_runs/all-maps-20260921-001/2m_vs_1z/jev,JEV-only,3,,36.5,19.644,55,0,0.005457228000000001,0.0,129934,5040,0,0,0,0,55,0,0,0,0.005457228000000001,55,375.0,567.5000000017462,549.5999999999185,1000.0,407.6727272725706,0,,,,,,,,,
micro,jev_gpt6,main,2m_vs_1z,False,smac-hard/jev_runs/p0-astra-all-maps-20260922-001/2m_vs_1z/jev,JEV + GPT-6,3,,82.953,26.786,75,1,0.013593972000000005,0.18108,323666,7024,14783,665,0,0,75,1,0,0,0.194673972,75,391.00000000325963,483.99999999674037,446.99999999429576,1250.0,411.99999999972835,1,33358.99999999674,33358.99999999674,33358.99999999674,33358.99999999674,33358.99999999674,,,,
micro,jev_only,main,corridor,False,smac-hard/jev_runs/all-maps-20260921-001/corridor/jev,JEV-only,3,,77.75,41.072,164,0,0.08673550199999999,0.0,2065131,98655,0,0,0,0,164,0,0,0,0.08673550199999999,164,485.0000000005821,732.4500000006082,656.7000000002736,1062.000000005355,514.384146341621,0,,,,,,,,,
micro,jev_gpt6,main,corridor,False,smac-hard/jev_runs/p0-astra-all-maps-20260922-001/corridor/jev,JEV + GPT-6,3,,187.219,67.5,210,1,0.11061216599999996,0.21785,2633623,93464,18415,674,0,0,208,1,2,0,0.32846216599999994,208,468.99999999732245,656.6499999957159,577.9999999940628,5656.000000002678,566.2403846148524,1,38891.00000000326,38891.00000000326,38891.00000000326,38891.00000000326,38891.00000000326,,,,
micro,jev_only,main,6h_vs_8z,False,smac-hard/jev_runs/all-maps-20260921-001/6h_vs_8z/jev,JEV-only,3,,43.407,20.358,57,0,0.023070389999999993,0.0,549295,26238,0,0,0,0,57,0,0,0,0.023070389999999993,57,453.0000000013388,662.6000000003834,625.0,1328.0000000013388,500.73684210515796,0,,,,,,,,,
micro,jev_gpt6,main,6h_vs_8z,False,smac-hard/jev_runs/p0-astra-all-maps-20260922-001/6h_vs_8z/jev,JEV + GPT-6,3,,95.11,26.786,75,1,0.034618038,0.2022,824239,28813,23717,683,7680,0,75,1,0,0,0.23681803799999998,75,437.9999999946449,515.3000000005704,485.0000000005821,2359.0000000112923,466.65333333347616,1,41610.00000000058,41610.00000000058,41610.00000000058,41610.00000000058,41610.00000000058,,,,
micro,jev_only,main,2s_vs_1sc,False,smac-hard/jev_runs/all-maps-20260921-001/2s_vs_1sc/jev,JEV-only,3,,68.625,47.856,134,0,0.013147427999999996,0.0,313034,11691,0,0,0,0,134,0,0,0,0.013147427999999996,134,375.0,552.2499999984574,530.9999999954016,1046.9999999986612,402.3656716413662,0,,,,,,,,,
micro,jev_gpt6,main,2s_vs_1sc,False,smac-hard/jev_runs/p0-astra-all-maps-20260922-001/2s_vs_1sc/jev,JEV + GPT-6,3,,132.688,48.21300000000001,136,1,0.026373186000000017,0.18456,627933,14460,14601,771,0,0,135,1,1,0,0.21093318600000002,135,406.00000000267755,500.0,453.00000000861473,4280.999999988126,443.6222222226206,1,42889.99999999942,42889.99999999942,42889.99999999942,42889.99999999942,42889.99999999942,,,,
