run,method,level,seed,game_seconds,workers,army_supply,supply_used,bases,minerals
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,270.17857142857144,25,6,34,1,35
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,275.17857142857144,25,8,36,1,75
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,280.17857142857144,26,8,36,1,45
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,285.17857142857144,26,8,37,1,85
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,290.17857142857144,26,8,37,1,10
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,295.17857142857144,27,8,38,1,45
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,300.17857142857144,27,10,40,1,35
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,305.17857142857144,27,10,40,1,30
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,310.17857142857144,28,10,41,1,65
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,315.17857142857144,27,10,40,1,155
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,320.17857142857144,28,10,40,1,75
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,325.17857142857144,28,10,41,1,115
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,330.17857142857144,29,12,43,1,90
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,335.17857142857144,30,12,44,1,30
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,340.17857142857144,30,12,45,1,70
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,345.17857142857144,31,12,45,1,165
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,350.17857142857144,30,12,45,1,115
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,355.17857142857144,31,12,45,1,210
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,360.17857142857144,31,12,45,1,300
